Username,Title,Video_URL,Publish_Date,Has_Comments
dondaviesndp,NDP Leader Don Davies calls out Liberals for abandoning climate action,https://www.youtube.com/watch?v=SWCL3Uo1cJI,2025-09-19T19:19:23Z,No
PierrePoilievre,Carney's climate con job is back,https://www.youtube.com/watch?v=KNcR7Vf1dKg,2025-09-23T14:20:56Z,Yes
PierrePoilievre,Mettez fin à l'interdiction des fusils de chasse par les libéraux,https://www.youtube.com/watch?v=qGVM4J8xDm8,2025-09-22T21:53:18Z,Yes
PierrePoilievre,"Drop the politics, stop the Liberal hunting rifle ban and keep the real criminals behind bars.",https://www.youtube.com/watch?v=n_Bw8qM3kaU,2025-09-22T19:17:44Z,Yes
PierrePoilievre,Repeal the energy cap & unleash Canadian energy,https://www.youtube.com/watch?v=Rcd3ShMvFrU,2025-09-22T17:24:18Z,Yes
PierrePoilievre,Something is missing. Check the central bank website… and your wallet.,https://www.youtube.com/watch?v=T1kqbaTPOAg,2025-09-21T19:37:08Z,Yes
PierrePoilievre,Fake trips and photo-ops abroad. While the economy collapses at home.,https://www.youtube.com/watch?v=9e8ZKNmQH4M,2025-09-18T20:35:00Z,Yes
PierrePoilievre,Canada First. Canada Always.,https://www.youtube.com/watch?v=5qIMGgeJUGQ,2025-09-18T17:08:31Z,Yes
MelissaLantsman,Shana Tova u'metukah! 🍎🍯,https://www.youtube.com/watch?v=YtwzIX5IrlU,2025-09-22T15:51:27Z,Yes
MelissaLantsman,A betrayal of Canadian values.,https://www.youtube.com/watch?v=ZQGuLnLZ85o,2025-09-21T16:33:57Z,Yes
MelissaLantsman,All the Liberals have to offer is more delay and excuses.,https://www.youtube.com/watch?v=jBi_N_E7rzE,2025-09-19T15:37:51Z,Yes
MelissaLantsman,Put the bad guys in jail. Today.,https://www.youtube.com/watch?v=vDBkdvq6KVo,2025-09-18T17:20:18Z,Yes
